#Digilent WaveForms Logger,,,,
#Device Name: Discovery2,,,,
#Serial Number: SN:210321B27883,,,,
#Date Time: 2023-11-08 12:42:10.124,,,,
,,,,
Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),
34.5,-0.100681093,0.100765976,0.00413514,
34.6,-0.105526166,0.105615824,0.004350927,
34.7,-0.108783641,0.108869609,0.004325641,
34.8,-0.108997209,0.109079292,0.004230886,
34.9,-0.109257987,0.109337863,0.004178592,
35,-0.109494036,0.10956917,0.004056973,
35.1,-0.109528657,0.109606935,0.004141682,
35.2,-0.10909028,0.109174511,0.004287735,
35.3,-0.109028233,0.109114471,0.004337313,
35.4,-0.109018791,0.109108171,0.004415449,
35.5,-0.108981922,0.10907286,0.004453028,
35.6,-0.108897844,0.108989693,0.004473556,
35.7,-0.109374438,0.109465709,0.004469195,
35.8,-0.108524662,0.108615546,0.004442369,
35.9,-0.108474305,0.108566792,0.004480353,
36,-0.10890189,0.108992849,0.004451908,
36.1,-0.108387529,0.108478578,0.004443587,
36.2,-0.109073195,0.109160943,0.004376028,
36.3,-0.109228762,0.109316737,0.0043848,
36.4,-0.109405462,0.109490176,0.00430624,
36.5,-0.108613686,0.108693609,0.004167474,
36.6,-0.108836696,0.108920268,0.004265946,
36.7,-0.109358252,0.109441606,0.004270576,
36.8,-0.109420749,0.109506974,0.00434478,
36.9,-0.109111412,0.109202209,0.004452212,
37,-0.109538099,0.109630972,0.004511656,
37.1,-0.109809218,0.109901017,0.00449101,
37.2,-0.109804721,0.109898229,0.004532549,
37.3,-0.109955343,0.110048162,0.004518907,
37.4,-0.10961903,0.109710629,0.004482245,
37.5,-0.109373539,0.109465627,0.004489159,
37.6,-0.110003902,0.110096053,0.004503607,
37.7,-0.109565076,0.109655346,0.004448502,
37.8,-0.107426248,0.107518447,0.004451718,
37.9,-0.101397783,0.101482329,0.004141582,
38,-0.097606612,0.097669239,0.003497073,
38.1,-0.097646179,0.097704284,0.003369115,
38.2,-0.097888522,0.09794671,0.003375686,
38.3,-0.10019236,0.100286428,0.00434265,
38.4,-0.109500331,0.109596565,0.00459179,
38.5,-0.107769755,0.107884688,0.004978532,
38.6,-0.104716406,0.104813294,0.004505656,
38.7,-0.105182209,0.105275842,0.004439115,
38.8,-0.105688028,0.10578446,0.004515823,
38.9,-0.104722251,0.104819654,0.004517746,
39,-0.102785301,0.102882676,0.004475155,
39.1,-0.100594317,0.100695204,0.004506378,
39.2,-0.098901509,0.099006497,0.004558281,
39.3,-0.098297224,0.09839731,0.004436928,
39.4,-0.097110685,0.097212455,0.004447057,
39.5,-0.09532031,0.095419015,0.004338998,
39.6,-0.092136123,0.092223653,0.004017094,
39.7,-0.090891583,0.090976323,0.003925749,
39.8,-0.089082324,0.089177132,0.004111009,
39.9,-0.089236543,0.08933614,0.004217277,
40,-0.08885167,0.088953927,0.004264005,
40.1,-0.088848523,0.08895338,0.00431784,
40.2,-0.088267168,0.088370637,0.004275093,
40.3,-0.087115699,0.087223412,0.004333414,
40.4,-0.086456111,0.086565694,0.004354328,
40.5,-0.086120697,0.086228934,0.0043191,
40.6,-0.086465103,0.086575027,0.004361333,
40.7,-0.08682075,0.086927418,0.004305036,
40.8,-0.086662036,0.086765752,0.00424115,
40.9,-0.086869759,0.086975458,0.00428664,
41,-0.08689179,0.086995097,0.004238375,
41.1,-0.086906627,0.087006546,0.004168597,
41.2,-0.087205623,0.087303044,0.00412322,
41.3,-0.087336012,0.087428979,0.004030809,
41.4,-0.087309934,0.08740514,0.004078482,
41.5,-0.087193033,0.087290534,0.004124589,
41.6,-0.087253282,0.087355492,0.004224543,
41.7,-0.087128288,0.087234223,0.004297795,
41.8,-0.087234848,0.087341632,0.004317651,
41.9,-0.087586448,0.087691344,0.00428788,
42,-0.087253282,0.087360364,0.004324116,
42.1,-0.087288352,0.087398065,0.004377833,
42.2,-0.087412896,0.087521052,0.00434974,
42.3,-0.087174599,0.087283305,0.004354836,
42.4,-0.087564417,0.0876705,0.004311555,
42.5,-0.087100862,0.087208934,0.004340283,
42.6,-0.087033419,0.087138011,0.004268122,
42.7,-0.087438524,0.087536437,0.004139125,
42.8,-0.087911521,0.088003684,0.004026506,
42.9,-0.087535641,0.087629812,0.004061452,
43,-0.087532944,0.087631868,0.004162706,
43.1,-0.08791332,0.088017246,0.004275961,
43.2,-0.087606681,0.087714679,0.004351366,
43.3,-0.087545983,0.087655897,0.004388304,
43.4,-0.087370632,0.087480411,0.004381198,
43.5,-0.087407501,0.087514915,0.004334649,
43.6,-0.087077032,0.087185453,0.004346685,
43.7,-0.08718539,0.087293905,0.004351272,
43.8,-0.086830642,0.086939883,0.004356923,
43.9,-0.086744765,0.086853582,0.004346313,
44,-0.086606733,0.0867134,0.004299722,
44.1,-0.087057249,0.087163044,0.004293204,
44.2,-0.087059047,0.087158062,0.004153308,
44.3,-0.086530298,0.086625251,0.004054836,
44.4,-0.086376978,0.086470631,0.004023373,
44.5,-0.086545585,0.086639773,0.004038804,
44.6,-0.086701152,0.086799949,0.004140209,
44.7,-0.087031171,0.08713307,0.00421273,
44.8,-0.086971372,0.087077725,0.004302403,
44.9,-0.086818952,0.086923326,0.004258431,
45,-0.086848177,0.086953132,0.004270985,
45.1,-0.086888193,0.08699482,0.004305887,
45.2,-0.087141327,0.087247657,0.004306118,
45.3,-0.086861216,0.086965885,0.004265485,
45.4,-0.08625738,0.08636458,0.004301736,
45.5,-0.08639856,0.086504262,0.004275058,
45.6,-0.086958783,0.087063166,0.004262039,
45.7,-0.08639811,0.08649861,0.004168464,
45.8,-0.086432731,0.086533985,0.004184924,
45.9,-0.08622276,0.086319697,0.004089711,
46,-0.086194434,0.086289968,0.004059319,
46.1,-0.086566267,0.086664885,0.004133242,
46.2,-0.086839185,0.086939953,0.004184671,
46.3,-0.086559523,0.086661561,0.004204188,
46.4,-0.086572562,0.086678886,0.00429194,
46.5,-0.086718687,0.086824074,0.004276564,
46.6,-0.086729478,0.086833089,0.004240633,
46.7,-0.086778486,0.086884631,0.004293408,
46.8,-0.087411098,0.087515985,0.004283424,
46.9,-0.087142227,0.087247968,0.004294208,
47,-0.087273065,0.08738005,0.004322647,
47.1,-0.087506416,0.087611938,0.004298686,
47.2,-0.087305438,0.087409953,0.004273236,
47.3,-0.086916519,0.08702193,0.00428194,
47.4,-0.08669261,0.086793639,0.004186552,
47.5,-0.086546034,0.086642854,0.004094876,
47.6,-0.087536541,0.087629895,0.004043823,
47.7,-0.087591844,0.087688329,0.004112416,
47.8,-0.087731225,0.087837053,0.004310464,
47.9,-0.087090071,0.087196216,0.004301117,
48,-0.087289701,0.087398967,0.004368931,
